Section,id,req_id,status,class_def,method,Module,branch,Action Item,bug_id_cl,,description
,8.3,T-1-2,Not testable,,,,,,b/77143742,,Generic requirement covered by a host of testcases
,8.4,A-0-1,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,A-0-2,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,A-0-3,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,A-0-4,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,H-0-1,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,H-0-2,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,H-0-3,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,H-0-4,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,655707,,
,8.4,H-1-1,Test Available,android.content.cts.AvailableIntentsTest,testPowerUsageSummarySettings,CtsContentTestCases,,,http://b/79528124,,
,8.4,T-0-1,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,,b/77143742,
,8.4,T-0-2,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,,b/77143742,
,8.4,T-0-3,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,oreo-cts-dev,Verified by FO,,b/77143742,
