Section	section_id	req_id	status	class_def	method	module	filename_line	Bug		
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	6.1	C-1-1	Test Available	android.adbmanager.cts.AdbManagerHostDeviceTest	test_isadbWifiSupported()	CtsAdbManagerHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/adbmanager/src/android/adbmanager/cts/AdbManagerHostDeviceTest.java	
	6.1	C-1-2	Test Available	android.adbmanager.cts.AdbManagerHostDeviceTest	test_isadbWifiQrSupported()	CtsAdbManagerHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/adbmanager/src/android/adbmanager/cts/AdbManagerHostDeviceTest.java	
	4	C-1-1	Test Available	android.incrementalinstall.cts.IncrementalFeatureTest	testFeatureAvailable()	CtsIncrementalInstallHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/incrementalinstall/src/android/incrementalinstall/cts/IncrementalFeatureTest.java	
	4	C-1-1	Test Available	android.incrementalinstall.cts.IncrementalFeatureTest	testFeatureWorkingWithInstallation()	CtsIncrementalInstallHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/incrementalinstall/src/android/incrementalinstall/cts/IncrementalFeatureTest.java	
	4	C-3-1	Test Available	android.incrementalinstall.cts.IncrementalFeatureTest	testFeatureWorkingWithInstallation()	CtsIncrementalInstallHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/incrementalinstall/src/android/incrementalinstall/cts/IncrementalFeatureTest.java	
	9.5	A-1-2	Test Available	android.host.multiuser.SecondaryUsersTest	testSwitchToSecondaryUserBeforeBootComplete()	CtsMultiUserHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/multiuser/src/android/host/multiuser/SecondaryUsersTest.java	
