"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation? "	"New Req for R?"	"New CTS for R?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible "	"Comment (external) "	"New vs Updated(Q)"	"CTS Bug Id "	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"7.4.3"	"C-3-5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10 LockScreen and biometrics"	"7.3.10"	"C-4-1"	"Test Available"	""	"Yes"	""	"com.android.cts.verifier.biometrics.CredentialEnrolledTests"	"testSetAllowedAuthenticators_credentialAndBiometricEnrolled_credentialAuth"	"CtsVerifierMockVrListenerServiceFiles"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-3-4"	"Test Available"	""	"Yes"	""	"android.hardware.biometrics.cts.BiometricPromptTest"	"values()"	"CtsProviderTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.11.3"	"C-0-4"	"Test Available"	""	"Yes"	""	"android.net.wifi.nl80211.cts.NativeWifiClientTest"	"testPostProcessorInvalidReturn()"	"CtsWifiTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.1.1"	"C-2-1"	"Test Available"	""	"Yes"	""	"android.server.wm.MultiDisplayTestBase"	"getDisplaysStates"	"CtsWindowManagerDeviceTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-4-1"	"Test Available"	""	"Yes"	""	"android.net.ipsec.ike.cts.IkeSessionPskTest"	"testIkeSessionSetupAndChildSessionSetupWithTunnelModeV6"	"CtsIkeTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.8"	"C-1-2"	"Test Available"	""	"Yes"	""	"android.omapi.cts.OmapiTest"	"testOpenBasicChannelNonNullAid"	"CtsOmapiTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.15"	"C-1-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-9-1"	"Test Available"	""	"Yes"	""	"android.content.cts.AvailableIntentsTest"	"testEasyConnectIntent"	"CtsContentTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.8.16"	"H-1-1"	"Test Available"	""	"Yes"	""	"android.controls.cts.CtsControlTemplateTest"	"testThermostatParams_wrongFlags_currentMode"	"CtsControlsDeviceTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-3-1"	"Test Missing"	""	""	""	""	""	""	"No Traction"	""	""	"74071373"	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"0"	""	""	""	""	""
""	"7.3.10"	"C-5-1"	"Test Available"	""	"Yes"	""	"android.hardware.biometrics.cts.BiometricPromptTest"	"test_setAllowedAuthenticators_withDeviceCredential"	"CtsHardwareTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18. Contacts"	"3.18"	"C-1-3"	"Test Available"	"Yes"	"Yes"	"Yes"	"android.provider.cts.contacts.ContactsContract_RawContactsTest"	"testRawContactCreate_noAccountUsesLocalAccount()"	"Requirement states that a physical button can fulfill the requirement, this may be manually testable."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"6.1"	"C-0-11"	"Test Available"	""	"Yes"	""	"android.app.cts.ActivityManagerTest"	"testIsRunningInTestHarness"	"CtsAndroidAppTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.4. Resume on Reboot"	"9.9.4"	"C-0-1"	"Not Testable"	""	"Yes"	""	"android.cts.statsd.atom.AtomTestCase"	"getReportList"	""	"Reboot not feasible with CTS"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.13 Hinge Angle Sensor"	"7.3.13"	"C-1-1"	"Test Available"	""	"Yes"	""	"android.hardware.cts.helpers.sensorverification.JitterVerificationTest"	"testVerify"	"CtsSensorTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-5-2"	"Test Available"	""	"Yes"	""	"android.hardware.biometrics.cts.BiometricPromptTest"	"test_isConfirmationRequired"	"CtsHardwareTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-4-3"	"Test Available"	""	"Yes"	""	"com.android.cts.verifier.biometrics.CredentialEnrolledTests"	"mBPSetAllowedAuthenticatorsButton"	"CtsVerifierMockVrListenerServiceFiles"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"6.1"	"C-5-1"	"Test Available"	""	"Yes"	""	"android.adbmanager.cts.AdbManagerHostDeviceTest"	"test_isadbWifiQrSupported"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18. Contacts"	"3.18"	"C-1-2"	"Test Available"	"Yes"	"Yes"	"Yes"	"android.provider.cts.contacts.ContactsContract_RawContactsTest"	"testRawContactCreate_noAccountUsesLocalAccount()"	"CtsContactProviderTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.10"	"C-0-5"	"Test Available"	""	"Yes"	""	"android.appsecurity.cts.ApkVerityInstallTest"	"testRemoveIf()"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-6-1"	"Test Available"	""	"Yes"	""	"android.app.notification.legacy.cts.ConditionProviderServiceTest"	"testConstantStateNotSet()"	"CtsLegacyNotification27TestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-0-3"	"Test Available"	""	""	""	"com.android.cts.verifier.net.ConnectivityBackgroundTest"	"com.android.cts.verifier.net.ConnectivityBackgroundTest.*"	"CtsVerifierNetTestCases"	""	""	""	""	""	""	"Connectivity (NFC / BT / USB)"	"Connectivity"	"1"	"Default not testable by CTS"	""	""	""	""
"3.18. Contacts"	"3.18"	"C-1-1"	"Test Available"	"Yes"	"Yes"	"Yes"	"android.provider.cts.contacts.ContactsContract_RawContactsTest"	"testRawContactCreate_nullAccountUsesLocalAccount()"	"CtsContactProviderTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
