Section	section_id	req_id	Test Availability	Annotation?	New Req for S?	New CTS for S?	class_def	method	module	Comment(internal) e.g. why a test is not possible	Comment (external)	New vs Updated(Q)	CTS Bug Id	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
	3.10.	C-1-2	Test Available				android.accessibilityservice.cts.AccessibilityEndToEndTest	testTypeNotificationStateChangedAccessibilityEvent testTypeViewClickedAccessibilityEvent testTypeViewFocusedAccessibilityEvent testTypeViewLongClickedAccessibilityEvent testTypeViewSelectedAccessibilityEvent testTypeViewTextChangedAccessibilityEvent testTypeWindowStateChangedAccessibilityEvent	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	2					
	3.10.	C-1-4	Manually Testable Missing Test							Punted to R						Framework (a11y)	Framework	0.2					
	3.10.	C-2-1	Test Missing							Punted to R			74204992			Framework (a11y)	Framework	0					
3.11.Text-to-Speech	3.11	C-1-1	Test Available				android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest	android.speech.tts.cts.TextToSpeechServiceTest.* android.speech.tts.cts.TextToSpeechTest.*	CtsSpeechTestCases							Framework (AI/Assistant/Speech)	Framework	2					
	3.11	C-2-1	Manually Testable Missing Test										74203864			Framework (AI/Assistant/Speech)	Framework	0.2					
	3.11	H-0-1	Test Available				android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest	assertContainsEngine() testGetEnginesIncludesMock()	CtsSpeechTestCases							Framework (AI/Assistant/Speech)	Framework	2					
	3.11	T-1-1	Test Available				android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest	assertContainsEngine() testGetEnginesIncludesMock()	CtsSpeechTestCases							Framework (AI/Assistant/Speech)	Framework	2					
	3.11	W-0-1	Test Available				android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest	public void .*	CtsSpeechTestCases							Framework (AI/Assistant/Speech)	Framework	2					
3.12 TV Input Framework	3.12	C-1-1	Not testable							TV test cases are gated by this feature. No way to  test standalone						Framework(TIF)	Framework	-1					
	3.12	C-1-2	Test Available				com.android.cts.tv.*	com.android.cts.tv.TvInputManagerHostTest.*	CtsTVtestCases							Framework (Input)	Framework	2					
	3.12	T-0-1	Test Available				android.media.tv.cts.*	android.media.tv.cts.*	CtsTvTestCases							Framework(TIF)	Framework	1					
3.13 Quick Settings	3.13	C-1-1	Test Available				android.host.systemui.TileServiceTest	testAddTile() testRemoveTile()	CtsSystemUiTestCases							System UI	System UI	2					
	3.13	C-1-2	Test Available				com.android.cts.verifier.qstiles.TileServiceVerifierActivity	com.android.cts.verifier.qstiles.TileServiceVerifierActivity	CtsVerifierQuickSettingsTestCases							System UI	System UI	2					
	3.13	C-1-3	Test Available				com.android.cts.verifier.qstiles.TileServiceVerifierActivity	com.android.cts.verifier.qstiles.TileServiceVerifierActivity	CtsVerifierQuickSettingsTestCases							System UI	System UI	2					
	3.14	A-0-1	Manually Testable Missing Test													Framework (UI)	Framework	-1					
	3.14	A-0-2	Not testable									New in Q		123357837	8085986	Framework(UI)	Framework	-1					
	3.14	A-0-3	Not testable									New in Q	140768703	123357837	8085986	Framework(UI)	Framework	0					
	3.14	A-0-4	Manually Testable Missing Test									New in Q	140768703	123357837	8085986	Framework(UI)	Framework	0.2					
	3.14	A-0-5	Manually Testable Missing Test									New in Q	140768703	123357837	8085986	Framework(UI)	Framework	0.2					
	3.14	A-0-6	Manually Testable Missing Test									New in Q	140768703	123357837	8085986	Framework(UI)	Framework	0.2					
	3.14	A-0-7	Not testable									New in Q	140768703	123357837	8085986	Framework(UI)	Framework	0					
	3.14	A-1-1	Not testable									New in Q	140768703	123357837	8085986	System UI	System UI	0					
3.14.Media UI	3.14	C-1-2	Not testable									Updated in Q	139747109	123357837	7429581	Framework (UI)	Framework	-1					
	3.14	C-1-3	Not testable									Updated in Q	139747109	123357837	7429581	Framework (UI)	Framework	-1					
	3.14	C-1-4	Not testable									Updated in Q	139747109	123357837	7429581	Framework (UI)	Framework	-1					
	3.14	C-1-5	Test Available				android.media.cts.MediaSessionTest	testCallbackOnMediaButtonEvent	CtsMediaTestCases							Media	Media	2					
3.15 Instant Apps	3.15	C-0-1	Test Available				android.appsecurity.cts.EphemeralTest	testInstallPermissionNotGranted() testInstallPermissionGranted()	CtsAppSecurityHostTestCases							Framework(Instant Apps)	Framework	2					
	3.15	C-0-2	Test Available				android.appsecurity.cts.EphemeralTest	testNormalQuery() testNormalStartNormal() testNormalStartEphemeral() testEphemeralQuery() testEphemeralStartNormal() testEphemeralStartExposed0*	CtsAppSecurityHostTestCases							Framework(Instant Apps)	Framework	2					
	3.15	C-0-3	Test Available				android.appsecurity.cts.EphemeralTest	testNormalQuery() testNormalStartNormal() testNormalStartEphemeral() testEphemeralQuery() testEphemeralStartNormal() testExposedSystemActivities() testEphemeralStartExposed0*	CtsAppSecurityHostTestCases							Framework(Instant Apps)	Framework	2					
	3.15	C-0-4	Test Available				android.appsecurity.cts.EphemeralTest	testPackageInfo()	CtsAppSecurityHostTestCases							Framework(Instant Apps)	Framework	2					
	3.15	C-0-5	Test Available				com.android.cts.verifier.instantapps.AppInfoTestActivity	com.android.cts.verifier.instantapps.AppInfoTestActivity	CtsVerifierInstantApps			New in Q	128338329	125919647	7527638	Framework(Instant Apps)	Framework	2					
	3.15	C-0-6	Test Available				com.android.cts.verifier.instantapps.NotificationTestActivity	com.android.cts.verifier.instantapps.NotificationTestActivity	CtsVerifierInstantApps			New in Q	128338329	125919647	7527638	Framework(Instant Apps)	Framework	2					
	3.15	C-0-7	Test Available				com.android.cts.verifier.instantapps.RecentAppsTestActivity	com.android.cts.verifier.instantapps.RecentAppsTestActivity	CtsVerifierInstantApps			New in Q	128338329	125919647	7527638	Framework(Instant Apps)	Framework	2					
	3.15	C-1-1																					
3.16 Companion Device Pairing	3.16	C-1-1	Not testable							Cannot be tested standalone. CompanionTests are gated by this flag						Framework(API compatibility)	Framework	-1					
	3.16	C-1-2	Test Available				com.android.cts.verifier.companion.CompanionDeviceTestActivity	com.android.cts.verifier.companion.CompanionDeviceTestActivity.*	CtsVerifierCompanion							Connectivity (Wifi / Telephony / Modem)	Connectivity	2					
	3.16	C-1-3	Test Available				com.android.cts.verifier.companion.CompanionDeviceTestActivity	com.android.cts.verifier.companion.CompanionDeviceTestActivity.*	CtsVerifierCompanion							Connectivity (Wifi / Telephony / Modem)	Connectivity	2					
	3.16	H-1-1	Test Available				com.android.cts.verifier.companion.CompanionDeviceTestActivity	public void.*	CtsVerifierCompanionDeviceTestCase							Connectivity (Wifi / Telephony / Modem)	Connectivity	2					
3.17.HeavyWeight Apps	3.17	C-1-1	Test Available				android.app.cts.ActivityManagerProcessStateTest	testCantSaveStateLaunchAndSwitch	CtsAppTestCases							Framework(Activity/Window Manager)	Framework	2					
