Section,section_id,req_id,Test Availability,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
3.18. Contacts,3.18,C-1-3,,Test Available,Yes,Yes,None,"[('com.android.cts.accountmanager.AccountManagerCrossUserTest', 8), ('android.cts.backup.syncadaptersettingsapp.SyncAdapterSettingsTest', 4), ('com.android.cts.devicepolicy.DeviceAndProfileOwnerTest', 3), ('com.android.cts.managedprofile.ProvisioningTest', 2), ('android.hardware.input.cts.tests.SonyDualshock4BluetoothTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProUsbTest', 1), ('android.content.sync.cts.InvalidSyncAuthoritiesDeviceTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4UsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProBluetoothTest', 1)]","[('getDevice', 21), ('getInstrumentation', 6), ('setUp', 5), ('getUiAutomation', 4), ('tearDown', 4), ('getTargetContext', 3), ('BackupUtils', 2), ('getAccount', 2), ('getContext', 2)]",,.cts-11/tests/tests/contactsprovider/src/android/provider/cts/contacts/ContactsContract_RawContactsTest.java,,,,,,,,,,,,,
3.18. Contacts,3.18,C-1-4,,Test Available,Yes,Yes,None,"[('android.media.cts.AudioRecordTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4BluetoothTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProUsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4UsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProBluetoothTest', 1)]",,,./cts-11/tests/tests/contactsprovider/src/android/provider/cts/contacts/ContactsProvider2_AccountRemovalTest.java,,,,,,,,,,,,,
3.18. Contacts,3.18,C-1-5,,Test Available,Yes,Yes,None,"[('android.content.cts.DeferSyncTest', 6), ('android.permission.cts.telephony.TelephonyManagerPermissionTest', 4), ('android.telephony.cts.SmsManagerTest', 4), ('android.telephony.cts.TelephonyManagerTest', 4), ('android.server.wm.MultiDisplayActivityLaunchTests', 3), ('android.hardware.cts.CameraGLTest', 2), ('com.android.cts.transferowner.TransferProfileOwnerOutgoingTest', 2), ('android.hardware.cts.CameraTest', 2), ('android.systemintents.cts.TestManageOverlayPermissionIntents', 2), ('android.cts.backup.syncadaptersettingsapp.SyncAdapterSettingsTest', 2), ('android.server.wm.StartActivityTests', 2), ('android.content.cts.AccountAccessSameCertTest', 2), ('com.android.cts.content.CtsSyncAccountAccessOtherCertTestCases', 2), ('com.android.cts.devicepolicy.ManagedProfileContactsTest', 2), ('android.telephony.cts.SubscriptionManagerTest', 1), ('android.view.inputmethod.cts.PackageVisibilityTest', 1), ('android.view.cts.ViewTest', 1), ('android.net.cts.Ikev2VpnTest', 1), ('com.android.cts.usespermissiondiffcertapp.AccessPermissionWithDiffSigTest', 1), ('android.view.textclassifier.cts.TextClassifierServiceSwapTest', 1), ('android.server.wm.lifecycle.ActivityLifecycleTests', 1), ('com.android.server.cts.device.statsd.AtomTests', 1), ('android.providerui.cts.MediaStoreUiTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4BluetoothTest', 1), ('com.android.cts.devicepolicy.MixedManagedProfileOwnerTest', 1), ('android.cts.backup.SyncAdapterSettingsHostSideTest', 1), ('com.android.server.cts.device.batterystats.BatteryStatsSyncTest', 1), ('android.telephony.cts.PhoneNumberUtilsTest', 1), ('android.hardware.lights.cts.LightsManagerTest', 1), ('android.telephony.embms.cts.MbmsGroupCallTest', 1), ('android.inputmethodservice.cts.hostside.ShellCommandFromAppTest', 1), ('android.net.cts.ConnectivityManagerTest', 1), ('android.media.cts.ThumbnailUtilsTest', 1), ('android.telephony.ims.cts.ImsCallProfileTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProUsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4UsbTest', 1), ('com.android.cts.devicepolicy.DeviceAndProfileOwnerTest', 1), ('com.android.cts.transferowner.TransferProfileOwnerIncomingTest', 1), ('android.hardware.camera2.cts.AllocationTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProBluetoothTest', 1), ('android.view.animation.cts.AnimationTest', 1)]","[('any', 18), ('getActivity', 9), ('setUp', 8), ('onUnsyncableAccount', 8), ('tearDown', 6), ('setNewDelegate', 4), ('allowSyncAdapterRunInBackgroundAndDataInBackground', 3), ('hasDataConnection', 3), ('getSimpleName', 2), ('PreviewCallback', 2), ('ConditionVariable', 2), ('getInstrumentation', 2), ('never', 2), ('capture', 2), ('getValue', 2), ('waitForAvailable', 1), ('countDown', 1), ('setUpClass', 1), ('UnlockScreenRule', 1), ('getBytes', 1), ('getContext', 1), ('SurfaceTextureCallback', 1), ('SurfaceTextureBurstCallback', 1), ('Object', 1), ('beforeActivityLaunched', 1), ('Renderer', 1), ('getView', 1), ('BackupUtils', 1), ('getUiAutomation', 1), ('getTargetContext', 1), ('getAccount', 1), ('getDevice', 1), ('noSyncsWhenDeferred', 1), ('deferSyncAndMakeSyncable', 1), ('onNewAccountForEachAccount', 1)]","[('CtsCameraTestCases', 5), ('CtsInputMethodTestCases', 1), ('CtsProviderUiTestCases', 1)]",./cts-11/tests/tests/contactsprovider/src/android/provider/cts/contacts/ContactsContract_RawContactsTest.java,,,,,,Security,Security,2,,,,,
,3.2.1,A-0-1,Test Available,Test Available,,,,same as 3.2.1/C-0-1,same as 3.2.1/C-0-1,,,,New in Q,134623137,124333135,7061971,Framework (Privacy),Framework,1,,,,,
3.2.1 Permissions,3.2.1,C-0-1,Test Available,Test Available,,,,"android.appsecurity.cts.PermissionHostTest
android.permission.cts.*",public void.*,"CtsAppSecurityHostTestCases
CtsPermissionTestCases",,,,,,,Security,Security,1,,,,,
3.2.2 Build Parameters,3.2.2,C-0-1,Test Available,Test Available,,,,android.os.cts.BuildTest,"testBuildConstants
testBuildFingerprint",CtsOsTestCases,,,Updated in Q,,80051029,7189788,Framework(API compatibility),Framework,2,,,,,
,3.2.3.1,A-0-1,,,,Yes,,,,,,,,,,,,,,,,,,
3.2.3.1 Core Application Intents,3.2.3.1,C-0-1,Test Available,Test Available,,,,android.content.cts.AvailableIntentsTest,public void.*,CtsContentTestCases,"Not sure if this verifies that third party apps can ovveride these
intents",,,132176534,,,Framework(API compatibility),Framework,1,,,,,
2.2.3 Software(HandHeld),3.2.3.1,H-0-1,Test Available,Test Available,,,,com.android.cts.documentclient,"testOpenSimple
testCreateNew
testGetContent
testTransferDocument
testFindDocumentPathInScopedAccess",CtsAppSecurityHostTestCases,,,,,,,Security,Security,2,,,,,
,3.2.3.1,H-0-2,,,,,,,,,,,,,,,,,,,,,,
